"id","Book","Authors","Original_language","First_published","Approximate_sales_in_millions","Genre"
107,Where the Crawdads Sing,Delia Owens,English,2018,18,Coming-of-age Murder mystery
108,"Totto-chan, the Little Girl at the Window (窓ぎわのトットちゃん)",Tetsuko Kuroyanagi,Japanese,1981,18,Autobiographical novel
109,Matilda,Roald Dahl,English,1988,17,Children's Literature
110,The Book Thief,Markus Zusak,English,2005,16,Young Adult Fiction
111,Goodnight Moon,Margaret Wise Brown,English,1947,16,Children's Literature
112,The Neverending Story (Die unendliche Geschichte),Michael Ende,German,1979,16,Children's Literature
113,All the Light We Cannot See,Anthony Doerr,English,2014,15,"Historical fiction, war novel"
114,Fifty Shades of Grey,E. L. James,English,2011,15,Erotica
115,The Pillars of the Earth,Ken Follett,English,1989,15,Historical fiction
116,The Hitchhiker's Guide to the Galaxy,Douglas Adams,English,1979,14,Science fiction
117,The Giver,Lois Lowry,English,1993,12,Dystopian fiction
127,Ciudad medialuna. Casa de flama y sombra,Sarah J. Mass,Ingles,2020,35,Fantasia Oscura
